z,vv
1685.0,-2.259623278099816e-05
1695.0,-3.0233624630530245e-05
1705.0,-3.838611278614698e-05
1715.0,-4.681763300361159e-05
1725.0,-5.528109831852065e-05
1735.0,-6.357435020454728e-05
1745.0,-7.156435938733968e-05
1755.0,-7.915974695028837e-05
1765.0,-8.624269879501761e-05
1775.0,-9.26093261453099e-05
1785.0,-9.796623487926331e-05
1795.0,-0.00010198959540511086
1805.0,-0.00010441702354608387
1815.0,-0.00010513576975573298
1825.0,-0.00010423728063188597
1835.0,-0.000102017033384397
1845.0,-9.89062130360001e-05
1855.0,-9.534925933412984e-05
1865.0,-9.169788721396382e-05
1875.0,-8.819668735607418e-05
1885.0,-8.501975963635949e-05
1895.0,-8.228811669173007e-05
1905.0,-8.018961769628888e-05
1915.0,-7.904432063607797e-05
