t,ustar
19105.5,0.47107677308897733
19106.0,0.47107689535173697
19106.5,0.4710768937967652
19107.0,0.4710767455805183
19107.5,0.4710764799852361
19108.0,0.47107607381622696
19108.5,0.471075518567765
19109.0,0.47107481109693966
19109.5,0.47107393462668473
19110.0,0.47107292764054154
19110.5,0.4710717432373032
19111.0,0.471070409048772
19111.5,0.4710689420588671
19112.0,0.47106730264445246
19112.5,0.4710654856681666
19113.0,0.47106351100922267
19113.5,0.47106137035788925
19114.0,0.47105904489085676
19114.5,0.4710565734383355
19115.0,0.47105392275757413
19115.5,0.47105111021923024
19116.0,0.47104812050479444
19116.5,0.47104498190765104
19117.0,0.4710416686561731
19117.5,0.4710381917266136
19118.0,0.4710345351007871
19118.5,0.4710307225597774
19119.0,0.47102675061579735
19119.5,0.47102261439583504
19120.0,0.4710183238153939
19120.5,0.47101389913192654
19121.0,0.47100929631824107
19121.5,0.4710045700289032
19122.0,0.4709996831192227
19122.5,0.4709946764053445
19123.0,0.47098951400529027
19123.5,0.47098422528589323
19124.0,0.4709788246859149
19124.5,0.470973264301158
19125.0,0.4709675787830258
19125.5,0.47096178301928543
19126.0,0.4709558783671057
19126.5,0.47094985916750076
19127.0,0.4709437118938782
19127.5,0.470937442612867
19128.0,0.4709310881768452
19128.5,0.4709246179950049
19129.0,0.47091802535651583
19129.5,0.4709113313013012
19130.0,0.4709045463286731
19130.5,0.47089766509553765
19131.0,0.47089068206317963
19131.5,0.4708835927936537
19132.0,0.4708764388527064
19132.5,0.47086918054486915
19133.0,0.47086181183931375
19133.5,0.4708544142915192
19134.0,0.47084692288377417
19134.5,0.47083936148884326
19135.0,0.47083173138922174
19135.5,0.47082405141478645
19136.0,0.4708162993751845
19136.5,0.47080850540471564
19137.0,0.47080062772379255
19137.5,0.4707927148622963
19138.0,0.4707847566121796
19138.5,0.47077672401517473
19139.0,0.4707686779592914
19139.5,0.47076059564412903
19140.0,0.4707524637192523
19140.5,0.470744264932135
19141.0,0.4707360434663252
19141.5,0.4707278275187417
19142.0,0.4707195592669574
19142.5,0.47071125197136415
19143.0,0.47070294864097434
19143.5,0.4706946346748339
19144.0,0.4706863118088884
19144.5,0.470677950836719
19145.0,0.470669602692305
19145.5,0.4706612220723643
19146.0,0.47065285376549
19146.5,0.4706445112023231
19147.0,0.47063613686074673
19147.5,0.4706277645279318
19148.0,0.4706194012301681
19148.5,0.47061103722350284
19149.0,0.47060268123615073
19149.5,0.47059434863391286
19150.0,0.47058602076140943
19150.5,0.47057770300680224
19151.0,0.47056939836962586
19151.5,0.4705610889156201
19152.0,0.4705528008633942
19152.5,0.4705445790084009
19153.0,0.4705363740473986
19153.5,0.47052816590844687
19154.0,0.4705200063330714
19154.5,0.4705118699443444
19155.0,0.47050376662537585
19155.5,0.47049565750591316
19156.0,0.4704876038834027
19156.5,0.47047957891016323
19157.0,0.4704715946536485
19157.5,0.4704636265461335
19158.0,0.47045570424230626
19158.5,0.4704478140941622
19159.0,0.47043993922286037
19159.5,0.4704320938130699
19160.0,0.4704242808902983
19160.5,0.47041648910797274
19161.0,0.47040873810241096
19161.5,0.47040101585316274
19162.0,0.4703933251218919
19162.5,0.4703856581043548
19163.0,0.470378021995882
19163.5,0.47037040522994916
19164.0,0.47036281952369197
19164.5,0.4703552313207496
19165.0,0.4703476841336962
19165.5,0.4703401729738415
19166.0,0.47033269047962567
19166.5,0.4703251892702292
19167.0,0.470317717585784
19167.5,0.47031029009583597
19168.0,0.4703028740179743
19168.5,0.47029543403353086
19169.0,0.47028804694280896
19169.5,0.4702806596597386
19170.0,0.47027328839037413
19170.5,0.4702658970664508
19171.0,0.4702585296917478
19171.5,0.4702511679884446
19172.0,0.4702438105518917
19172.5,0.47023644984351864
19173.0,0.47022909876832053
19173.5,0.4702217394446245
19174.0,0.47021437127008825
19174.5,0.47020703778348233
19175.0,0.47019967898753634
19175.5,0.47019227760699905
19176.0,0.47018486738742366
19176.5,0.4701774545142438
19177.0,0.4701700441813826
19177.5,0.4701626111521036
19178.0,0.4701551551599975
19178.5,0.4701476873763786
19179.0,0.47014019371092286
19179.5,0.4701326547548256
19180.0,0.4701251154006166
19180.5,0.47011754548556056
19181.0,0.47010995270923006
19181.5,0.4701023648063384
19182.0,0.4700947103311256
19182.5,0.4700870480389695
19183.0,0.47007933024423704
19183.5,0.47007164025289055
19184.0,0.4700639183588937
19184.5,0.4700561582574547
19185.0,0.47004837195952465
19185.5,0.4700405663526417
19186.0,0.4700327251240569
19186.5,0.47002484979614495
19187.0,0.47001697491119926
19187.5,0.4700090633399581
19188.0,0.4700010936454875
19188.5,0.46999308668397116
19189.0,0.46998507088232727
19189.5,0.46997700598777625
19190.0,0.46996888049691743
19190.5,0.469960710192733
19191.0,0.46995249589469734
19191.5,0.4699442431682336
19192.0,0.46993592602130896
19192.5,0.4699275553206206
19193.0,0.4699191372206138
19193.5,0.46991065900737
19194.0,0.46990215501690524
19194.5,0.4698935845081173
19195.0,0.4698849640587876
19195.5,0.4698762838009997
19196.0,0.46986755590009854
19196.5,0.46985876158021955
19197.0,0.46984989046562814
19197.5,0.4698409550467973
19198.0,0.46983197801992943
19198.5,0.4698229280872675
19199.0,0.4698137959557158
19199.5,0.4698046071652384
19200.0,0.46979533083650876
