z,vT
925.0,-6.433479992697199e-05
935.0,-5.1983117625011816e-05
945.0,-4.451691780000067e-05
955.0,-4.022847903547262e-05
965.0,-3.6617505386363433e-05
975.0,-3.275454979753547e-05
985.0,-2.8775873826484646e-05
995.0,-2.473406687053653e-05
1005.0,-2.0385351314907306e-05
1015.0,-1.5702391765364872e-05
1025.0,-1.1004423253391037e-05
1035.0,-6.569695302796673e-06
1045.0,-2.4053077274769023e-06
1055.0,1.6265574900632242e-06
1065.0,5.651082275503145e-06
1075.0,9.690031092232027e-06
1085.0,1.3625302353467293e-05
1095.0,1.7126335500468324e-05
1105.0,1.9748389465732764e-05
1115.0,2.1062151322681175e-05
1125.0,2.0789410115049712e-05
1135.0,1.893028552713698e-05
1145.0,1.578810373806704e-05
1155.0,1.1857065949115111e-05
1165.0,7.710419031415151e-06
1175.0,3.819797658396791e-06
1185.0,4.3825877301447273e-07
1195.0,-2.381101240592585e-06
1205.0,-4.715879642458075e-06
1215.0,-6.6724430420552595e-06
1225.0,-8.303674045209408e-06
1235.0,-9.630505554857423e-06
1245.0,-1.069292024277387e-05
1255.0,-1.1553960639899014e-05
1265.0,-1.2277016804189343e-05
1275.0,-1.2909012568147064e-05
1285.0,-1.3487589952183645e-05
1295.0,-1.4092014705689052e-05
1305.0,-1.4845054687474873e-05
1315.0,-1.5895103229184403e-05
1325.0,-1.7343337682597928e-05
1335.0,-1.9210712669774368e-05
1345.0,-2.1427016680663574e-05
1355.0,-2.389293040549122e-05
1365.0,-2.652612452761129e-05
1375.0,-2.929003204886347e-05
1385.0,-3.214596851865953e-05
1395.0,-3.5026139092083174e-05
1405.0,-3.7806347396914556e-05
1415.0,-4.03504593376642e-05
1425.0,-4.253986519343245e-05
1435.0,-4.4300666679389373e-05
1445.0,-4.5575808719256015e-05
1455.0,-4.630828113357191e-05
1465.0,-4.643451475094041e-05
1475.0,-4.592112152833223e-05
1485.0,-4.477578649819907e-05
1495.0,-4.304337808917381e-05
1505.0,-4.077919257922479e-05
1515.0,-3.805675634594561e-05
1525.0,-3.4961530545001574e-05
1535.0,-3.1586237805329884e-05
1545.0,-2.80061290094528e-05
1555.0,-2.428053351130549e-05
1565.0,-2.0434087499184254e-05
1575.0,-1.6441572515373916e-05
1585.0,-1.2193084310580549e-05
1595.0,-7.4930332431311026e-06
1605.0,-2.0778846707210242e-06
1615.0,4.324914757272331e-06
1625.0,1.1932910167370374e-05
1635.0,2.0848870465279803e-05
1645.0,3.1045957406882376e-05
1655.0,4.237349451505632e-05
1665.0,5.4590615614773084e-05
1675.0,6.73895089511883e-05
1685.0,8.04212482291756e-05
1695.0,9.328910586929096e-05
1705.0,0.0001055542859511864
1715.0,0.00011673149876989853
1725.0,0.00012631804349249915
1735.0,0.00013380765854631107
1745.0,0.0001387436288979518
1755.0,0.00014076389398470632
1765.0,0.0001396437577588767
1775.0,0.00013529595533506638
1785.0,0.00012779284434359778
1795.0,0.00011737682849176423
1805.0,0.00010450471639018584
1815.0,8.982682249502389e-05
1825.0,7.419745556250959e-05
1835.0,5.8575733726683503e-05
1845.0,4.39040549274961e-05
1855.0,3.092120063220793e-05
1865.0,2.0172782717979477e-05
1875.0,1.2013666951232034e-05
1885.0,6.445704587455882e-06
1895.0,2.9483027444814396e-06
1905.0,8.739713624104045e-07
1915.0,2.3020016432289375e-07
